title,polarity,subjectivity,classification
Exxon Mobil  General Electric: Money Flow Leaders (XOM  GE),0.05,0.5,pos
Auto Program in Climate Bill Raises Trade Concerns,0.0,0.0,neu
Bank of Ayudhya to Buy GE Units in Thailand,0.0,0.0,neu
Business Owners Ache as CIT Scales Back,0.0,0.0,neu
Silverman to Depart His Post at NBC,0.0,0.0,neu
Activists Seek SEC Social-Report Mandate,-0.1,0.6,neg
TV Networks Fight Drug-Ad Measure,0.0,0.0,neu
India Designates Sites for U.S. Nuclear Deals,0.0,0.0,neu
Potential Void Left by CIT Would Be Filled  With Time,0.133333333333,0.633333333333,pos
Welch: 'No Such Thing as Work-Life Balance',0.0,0.5,neu
Gilead Signs License PactsFor Generic HIV Drug,0.0,0.0,neu
HIV Drug Clears a Safety Hurdle,0.0,0.0,neu
Law Firms Cooley Godward  Kronish Lieb Plan to Merge,0.0,0.0,neu
Health,0.0,0.0,neu
New Option for Rare Condition,0.218181818182,0.677272727273,pos
New AIDS Pill Simplifies Treatment,0.136363636364,0.454545454545,neu
FDA Clears Pill That CombinesThree Widely Used HIV Drugs,-0.1,0.4,neu
Bond-Index Futures of the Future,0.0,0.125,neu
Blog Roll -- Afternoon Edition,0.0,0.0,neu
OPTIONS REPORT: Steady for Express Scripts  Dollar Tree?,0.166666666667,0.5,pos
General Motors Corp.,0.05,0.5,pos
Avtovaz Will Make CarsWith Magna in Russia,0.0,0.0,neu
One System  Two Visions,0.0,0.0,neu
General Motors Completes Test RunOf Two Hydrogen-Powered Vehicles,0.05,0.5,pos
GM's Sharp Profit Drop PutsUrgency on Cost Cuts,-0.125,0.75,neg
Stocks Rise on Productivity Data,0.0,0.0,neu
GMAC Swings to Loss,0.0,0.0,neu
Incentives UnlikelyTo Rev April Car Sales,0.0,0.0,neu
In Workshop of 'Wheaties' Makers Engineer Crafted a Novel Undersea Vessel,0.0,0.0,neu
GM's Labor Issues Cloud Revival,0.0,0.0,neu
Yahoo  WPP Unveil Online Ad Partnership,0.0,0.0,neu
Google to Target BrandsIn Revenue Push,0.0,0.0,neu
Google Net Soars on Web Ad Boom,0.0,0.0,neu
Options Accounting Aids Google,0.0,0.0,neu
In 'Click Fraud 'Web Outfits HaveA Costly Problem,0.0,0.0,neu
Analysts React: Google's Earnings,0.0,0.0,neu
Google Offers Web-Search Tracker,0.1,0.0,neu
News Sites Turn to AdvertisementsOn Google  Yahoo to Boost Traffic,0.0,0.0,neu
Anunciantes da internet enfrentam nova praga: a fraude do clique,0.0,0.0,neu
Google Maps to Use Satellite Images,0.0,0.0,neu
Goldman Sachs Exits Fujita Investment in Japan,0.0,0.0,neu
Goldman Sachs Raids Credit Suisse For New Aussie Trading Desk,0.136363636364,0.454545454545,neu
Goldman Sachs: No QE3 At September Meeting,0.0,0.0,neu
Goldman Sachs Reports 6 Days of Trading Losses,0.0,0.0,neu
Goldman Sachs Managing Director Curtis Smith Departs,0.0,0.0,neu
Oakland's Bad Deal And Goldman Sachs -- Letters to the Editor,-0.7,0.666666666667,neg
In Social Services Experiment  Goldman Sachs Invests in City Jail Program,-0.0333333333333,0.0333333333333,neu
U.S. Won't Pursue Goldman Charges,0.0,0.0,neu
Video: U.S. Won't Seek Goldman Sachs Charges Related to Financial Crisis and Mortgage Fraud Accusations,0.0,0.2,neu
Why Goldman Sachs and KKR Want Your Money,0.0,0.0,neu
Halliburton's Profit Falls 61%,0.0,0.0,neu
DJIA Can't Hold 10K; IBM Weighs,0.0,0.0,neu
Michael Moore: A Love Story? Not So Much,0.35,0.4,neu
Chamber Says 'No Thanks' to the Yes Men,-0.1,0.2,neu
Schlumberger Profit Drops 48%,0.0,0.0,neu
To Combat Overseas Bribery  Authorities Make It Personal,0.0,0.3,neu
KBR's Net Rises 65%,0.0,0.0,neu
Changing Teams,0.0,0.0,neu
Exxon Looks Close to Home,0.0,0.0,neu
Oil Executives on a New Course,0.136363636364,0.454545454545,neu
Home Depot Net Falls 66% As Store Growth Brakes,0.0,0.0,neu
Home Depot Plans More Closings,0.5,0.5,pos
Lowe's Expands on Home Depot's Pullback,0.0,0.0,neu
The Difference Between Rivals,0.0,0.0,neu
Home Depot Ex-Executive Is Charged With Fraud,0.0,0.0,neu
Home Depot  Target and Financials Fall,0.0,0.0,neu
Midday Macro: Staples  Home Depot Woe but Saks Surges,0.0,0.0,neu
AMR  Home Depot And Hershey Gain,0.0,0.0,neu
AmEx  Home Depot Rise on Strong Dollar,0.433333333333,0.733333333333,pos
Home Depot Drops  While GM Rises 9.4%,0.0,0.0,neu
Honeywell's Net Surges 22%On Strong Aerospace Growth,0.216666666667,0.366666666667,neu
U.S. Defense Contractors PaintA Mixed Picture on Earnings,0.0,0.25,neu
Caterpillar  Intel Rise on Profit Reports,0.0,0.0,neu
Blue Chips Succumb to Inflation,0.0,0.1,neu
A Perk Takes Off,0.0,0.0,neu
Alcoa Is Flat Ahead of Earnings;Forest Labs  Siebel Take a Dive,-0.025,0.125,neu
Paging Goldilocks,0.0,0.0,neu
Stocks Declined in First QuarterAmid Focus on Inflation  Rates,0.25,0.333333333333,neu
Honeywell  GE  AmEx Help PushDow Industrials to Record Close,0.0,0.0,neu
GE Leads the FieldAs Industrials Hit High,0.16,0.54,pos
McCain Sends Carly Fiorina To Meet With Clinton Backers,0.0,0.0,neu
H-P  EDS Settle Shareholder Lawsuit,0.0,0.0,neu
Former H-P Executive Indicted in Email Case,0.0,0.0,neu
Profit at EDS Increases 16%,0.0,0.0,neu
Sun Lowers Earnings Projection,0.0,0.0,neu
Former H-P Executive Pleads Guilty,-0.25,0.5,neg
VMware Ousts Star CEO as Growth Slows,0.0,0.0,neu
Alcatel-Lucent Shifts Direction To Offset Slow Growth,-0.3,0.4,neu
New Breed of Directors Reaches Out to Shareholders,0.136363636364,0.454545454545,neu
Studio Chooses Intel for Chip Pact,0.0,0.0,neu
China's Haier  Equity FirmsShow Interest in Bid for Maytag,0.0,0.0,neu
Corrections & Amplifications,0.0,0.0,neu
Intel's New Six-Brain Chip Garners Good Critiques,0.418181818182,0.527272727273,pos
Nokia Pursues Security-Unit Sale,0.0,0.0,neu
Commercial-Paper Market Seizes Up,0.0,0.0,neu
Computer Sciences Gets Huge Tax Credit,0.4,0.9,pos
IBM Plans to Build More Server Centers,0.5,0.5,pos
Cisco to Buy Instant-Message Start-Up,0.0,0.0,neu
Tumultuous Ad Market to Test New Ogilvy CEO,0.136363636364,0.454545454545,neu
Cutting Tech's Energy Bill,-0.6,0.9,neg
Phone Giants Are Lobbying HardTo Block Towns' Wireless Plans,0.0,0.0,neu
High Schools Add Classes Scripted by Corporations,0.16,0.54,pos
Patent Nonsense,0.0,0.0,neu
Some CEOs AdvertiseThe 'Me' Brand -- With Limited Success,0.114285714286,0.0714285714286,neu
Intel  Cisco Systems: Money Flow Leaders (INTC  CSCO),0.0,0.0,neu
Green Goal of 'Carbon Neutrality' Hits Limit,-0.2,0.3,neu
Run on Washington,0.0,0.0,neu
Court Ruling Won't Much Affect Microsoft Customers,0.2,0.2,neu
Companies Let Anyone E-MailThe Board  But Few Write In,-0.2,0.1,neu
Intel Warning Bodes Ill for Whole Economy,-0.15,0.7,neg
Suzanne Johnson Goldman Sachs Star To Retire in January,0.0,0.0,neu
Targeting Depression,0.0,0.0,neu
To Lure Teens to Its Latest Web Site Conde Nast Turns to the 'Flip Squad',0.5,0.9,pos
Stent ConcernsAre GalvanizingPlaintiffs' Bar,0.0,0.0,neu
Hometown Makes Good,0.7,0.6,pos
FDA  Ahead of a Safety Review Cites Risk in Drug-Coated Stents,0.0,0.0,neu
FDA Panel to ReviewRisks of Drug-Coated Stents,0.0,0.0,neu
Study Finds Longer Plavix UseCuts Risk for Drug-Stent Patients,0.0,0.0,neu
Psychiatrists Resist FDA on Widening Antidepressant Suicide Label,0.0,0.0,neu
Big Phone FirmsDelve Undersea For Asian Growth,0.0,0.05,neu
Consumer Confidence Rises Again,0.0,0.0,neu
Yukos Drops 5 Banks From SuitIn Texas Over Auction of Unit,0.0,0.0,neu
Resourcehouse Trims IPO Size as MGM Seeks More,0.5,0.5,pos
Slowdown in Growth Is Becoming a Concern,0.45,0.85,pos
Bid to Use Gold as Collateral Advances,0.0,0.0,neu
J.P. Morgan to Bear: Teach Us How You Did That,0.0,0.0,neu
J.P. Morgan and the Chamber of Secrets,0.0,0.0,neu
Premarket: J.P. Morgan Boosts Futures,0.0,0.0,neu
Live-Blogging the J.P. Morgan Earnings Call,0.0,0.0,neu
Investors Put Ford Bonds in Their Future,0.0,0.125,neu
Hansen Distribution Deal,0.0,0.0,neu
Coke Bottler Takes Hit On Cost of Concentrate,0.0,0.0,neu
Exxon Leads the Dow; Allstate  Goldman Fall,0.0,0.0,neu
Coke Overcomes Weak U.S. Results,-0.375,0.625,neg
Broader  Deeper Job Cuts Risk Steepening Slump,0.0,0.0,neu
Pepsi Results Send Chills In Beverage  Snack Sector,0.0,0.0,neu
Mistakes Marketers Make,0.0,0.0,neu
In This Market  Dividends Look Great,0.8,0.75,pos
Barclays Capital Loan Sale Finds Few Buyers,-0.2,0.1,neu
Margin Calls Hitting More Executive Suites,0.5,0.5,pos
Under Criticism Drug Maker LillyDiscloses Funding,0.0,0.0,neu
Eli Lilly & Co.,0.0,0.0,neu
Noted . . .,0.0,0.0,neu
What Diabetes Patients Need to Know,0.0,0.0,neu
Pharma Box Office: Diabetes Drugs,0.0,0.0,neu
More Pharma Genes in Biotech's DNA,0.5,0.5,pos
Lilly Posts a Profit on Jump in Sales,0.0,0.0,neu
Dell's WarningPuts PressureOn the Market,0.0,0.0,neu
Financial Ties to IndustryCloud Major Depression Study,0.03125,0.25,neu
FDA Signals It's OpenTo Drug Trials ThatShift Midcourse,0.0,0.0,neu
Lockheed's ProfitIncreases by 60%;Northrop's Drops,0.0,0.0,neu
With New Rules Weapons Projects Set Higher Costs,0.193181818182,0.477272727273,neu
Satellite MalfunctionUnsettles Broadcasters,0.0,0.0,neu
Boeing Joins Team CompetingFor U.S. Military Plane Contract,-0.1,0.1,neu
Rate Fears Sink Stocks,0.0,0.0,neu
Boeing Nears Settlement With U.S.,0.0,0.0,neu
Social Engineering,0.0333333333333,0.0666666666667,neu
Air Force TankerGets Nod; Boeing Airbus to Compete,0.0,0.0,neu
Health Insurers MustCover Adult Children,0.1,0.3,neu
Pentagon Cites 36 Arms ProjectsFor Cost Growth Under New Rules,0.136363636364,0.454545454545,neu
Lowe's Net Rises But March SalesChilled by Weather,0.0,0.0,neu
GM Drives Toward EndOf Big Media Review,0.0,0.1,neu
Dow Industrials Recover by 1.1% As Worries Ease,0.0,0.0,neu
Exxon  Chevron Shares Edge Down,-0.155555555556,0.288888888889,neu
Inflation and Rate Fears Ebb Pushing Blue Chips Higher,0.125,0.3,neu
AIG and Home Depot Get a Bump,0.0,0.0,neu
A Paint Pro Paints a Home,0.0,0.0,neu
Publicis Wins a GM Media Account,0.3,0.2,neu
Half-Glass Economy,0.0,0.0,neu
China Feels the Heat,0.0,0.0,neu
MasterCard To Buy Travelex Prepaid Business,0.0,0.0,neu
MasterCard Develops Payment Solution for UID Project,0.0,0.0,neu
Teen Arrested in the Netherlands in Hacking Attacks by WikiLeaks Sympathizers,0.0,0.0,neu
Hackers Strike Back to Support WikiLeaks,0.0,0.0,neu
WikiLeaks' Supporters Pledge More Attacks,0.5,0.5,pos
Web Attacks Test PayPal's Defenses,0.0,0.0,neu
Fed's New Debit-Card Fee Rules Hit Hard; Issuers Howl,-0.0776515151515,0.498106060606,neu
Judge Keeps Dutch Teen in Custody,0.0,0.0,neu
WikiLeaks Has Sharply Raised Spending,-0.125,0.75,neg
Banks Look to Prepaid Cards to Replace Lost Revenue,0.0,0.0,neu
Hedge-Fund Man at McDonald's,0.0,0.0,neu
McDonald's Plans to Sell Part Of Chipotle in an IPO Next Year,0.0,0.0,neu
Fund Lifts McDonald's Shares,0.0,0.0,neu
McDonald's MarketerLarry Light to Retire;Dillon to Be Successor,0.4,0.7,pos
McDonald's OptionsProvide an Opening;A For-Profit CBOE,0.0,0.0,neu
McDonald's Posts Strong Sales,0.433333333333,0.733333333333,pos
Buying an iPod from a Vending Machine,0.0,0.0,neu
Job OutpouringFor EvacueesSparks Backlash,0.0,0.0,neu
Who's News Briefs,0.0,0.0,neu
Market Rises  but Katrina Is Roiling Stocks,0.0,0.0,neu
Video: Opinion Journal: California's War on Suburbia -- Wendell Cox on why the state wants denser housing,0.2,0.1,neu
A Jobs Slump,0.0,0.0,neu
Kraft Expects Kick From Drinks,0.0,0.0,neu
What's a Mondelez? A Krafty New Name for Snack Maker,0.136363636364,0.454545454545,neu
Corrections & Amplifications,0.0,0.0,neu
Kraft Still Trimming the Fat Ahead of Split,0.0,0.0,neu
Video: If Apple Strikes a Deal With Cable Companies  Price of Cable May Drop,0.0,0.0,neu
Kraft Foods to Sell Part of Back to Nature Line,0.0,0.0,neu
Inside Apple v. Samsung; A Legal Perspective; Power of the Zuckerberg Like,0.2,0.2,neu
Stocks Hit Multiyear High,0.16,0.54,pos
Medtronic Settles Patent Fight,0.0,0.0,neu
Pain Control Gets RechargeableWith Latest Neurostimulators,0.5,0.9,pos
A More Affordable Cardiac Device,0.225,0.25,neu
Building Wealth  DRIP by DRIP ...,0.0,0.0,neu
How a Famed Hospital InvestsIn Device It Uses and Promotes,0.0,0.0,neu
Guidant Issues Warning on Its Older Pacemakers,0.166666666667,0.333333333333,neu
Medical-Device Makers May SeeSlower Growth in the Second Half,-0.0833333333333,0.0833333333333,neu
Guidant's Profit FallsOn Charge for Recall,0.0,0.0,neu
Volatility ForecastRises Amid BuyingOf Puts on Utilities,0.0,0.0,neu
Boston Scientific LosesPatent Case Over J&J Stent,0.0,0.0,neu
MetLife Probed on Death Benefits,0.0,0.0,neu
Hancock in Settlement Over Death Benefits,0.0,0.0,neu
Stock and Bond Sales Stand Up to the Turmoil,0.0,0.0,neu
States Probe Life Insurance Policy Payments,0.0,0.0,neu
Regulators Order 14 Banks to Revamp Foreclosure Practices,0.0,0.0,neu
Do 'Managed Payout' Funds Pay Off?,0.0,0.0,neu
Life-Insurance Licensing Test Is Too Hard  Biased  Primerica Says,-0.291666666667,0.541666666667,neg
Task Force Members From The Wall Street Journal's Conference on Women in the Economy,0.0,0.0,neu
MetLife's EarningsSoar 65% on GrowthIn Premiums  Fees,0.0,0.0,neu
Insurers PushAll-in-One Policies,0.0,0.0,neu
3M Cuts an Additional 1 200 Jobs,0.0,0.0,neu
Workers at 3M Plant in France Take Boss Hostage,0.0,0.0,neu
French Executives Surrender Stock Options  Responding to Protests,0.0,0.0,neu
In Europe  Rage Over Crisis Hits Executives,0.0,0.0,neu
Forget Companies -- Traders Track the Lawmakers,0.0,0.0,neu
Ford Names Gephardt  Earley to Board,0.0,0.0,neu
Today's Photos: March 25,0.0,0.0,neu
3M to Take Repatriation Charge,0.0,0.0,neu
Long Haul AheadFor Boeing's Chief,-0.05,0.4,neu
For Its New CEO 3M Is ExpectedTo Look Outside,0.0681818181818,0.252272727273,neu
Altria's Profit Rises 8.9% On Strong Cigarette Sales,0.433333333333,0.733333333333,pos
GM and Altria Flex MusclesBut GenProbe Shares Fall 6.8%,0.0,0.0,neu
Altria Declines; J&J  GM  Apple Rise,0.0,0.0,neu
J.P. Morgan  Altria AdvanceWhile Intel and Honeywell Fall,0.0,0.0,neu
Dow Gains 60.76  Powered by GM DealAnd Court Decision Favoring Altria,0.0,0.0,neu
Justices Won't Hear Tobacco Case,0.0,0.0,neu
Rx From Marlboro Man: DeviceThat Delivers Drugs  Not Smoke,0.0,0.0,neu
Tobacco: Smoke Signals From the Courts,0.0,0.0,neu
Kraft Earnings Decline 13.5%On Higher Commodity Costs,0.25,0.5,pos
Why Kraft Decided to BanSome Food Ads to Children,0.0,0.0,neu
Monsanto Profit Tumbles 81% Hurt By Acquisition Write-Offs,0.0,0.0,neu
Monsanto Investment in SolutiaTo Aid in Chemicals Cleanup,0.0,0.0,neu
Oracle  AIG Rise After Earnings;General Mills  Monsanto Decline,0.0,0.0,neu
EU States Reject Lifting Biotech Bans,0.0,0.0,neu
GM Helps Blue Chips Stay Positive,0.113636363636,0.322727272727,neu
Investors Hold Fire Before Fed,0.0,0.0,neu
Crackdown Puts Corporations Executives in New Legal Peril,0.168181818182,0.327272727273,neu
Donaldson's Last Hurrah,0.0,0.0666666666667,neu
The Neutrality Gamble,0.0,0.0,neu
Step by Step,0.0,0.0,neu
Merck  Schering See Smaller Decline,0.0,0.5,neu
Merck Signals Delays For Its Shingles Vaccine,0.0,0.0,neu
Merck Sees Wait on Cordaptive,0.0,0.0,neu
FDA Rejects Expanded Gardasil Use,0.0,0.0,neu
Merck Wins Suit on Vioxx Monitoring,0.3,0.2,neu
Merck  iShares Russell 1000: Money Flow Leaders (MRK  IWB),0.0,0.0,neu
Drug Makers Say FDA Safety Focus Is Slowing New-Medicine Pipeline,0.0,0.0,neu
Even Defensive Names Take Hits,0.0,0.0,neu
Genetic Research May Help Pick Patients' Best Cancer Drugs,1.0,0.3,neu
Roberts  Alito Pare Holdings,0.0,0.0,neu
Less Risky  Morgan Stanley Still at Loss,-0.166666666667,0.0666666666667,neu
Morgan Stanley to Post a Loss From Volatile  Complex Bonds,-0.3,0.4,neu
Does Morgan Stanley Want to Exit the Casino?,0.0,0.0,neu
Morgan Stanley Eyes Big Trading Change,0.0,0.1,neu
Morgan Stanley: Analysts Fooled by Randomness,0.0,0.0,neu
Morgan Stanley Is Left Out of the Rally Party,0.0,0.0,neu
Morgan Stanley&#8217;s Troubles Hit Shares,0.0,0.0,neu
Morgan Stanley Adds Four to Management Committee,0.0,0.0,neu
Mack: We Still Have to Shell Out,0.0,0.0,neu
Morgan Stanley Raises $1.1 Billion for Fund,0.0,0.0,neu
Bank of America Follows Internet Companies Into the Cloud,0.0,0.0,neu
Microsoft PlansTo Step Up PaceOf Acquisitions,0.0,0.0,neu
Google Calls MicrosoftLawsuit a Scare Tactic,0.0,0.0,neu
Microsoft's Net Income Jumps 38%,0.0,0.0,neu
Microsoft Sues to KeepAide From Google,0.0,0.0,neu
Microsoft AccordTo End IBM CaseHighlights Rivalry,0.0,0.0,neu
Microsoft WinsSmall BattleIn Google Suit,0.0,0.0,neu
Text of Microsoft Statement,0.0,0.0,neu
New Microsoft ProgramOffers Homework ToolsBut It's Clumsy to Use,-0.0818181818182,0.427272727273,neu
Microsoft Opens New Windows With a Less-Technical Name,0.136363636364,0.454545454545,neu
Nike Net Jumps 32%On U.S. Sneaker Sales,0.0,0.0,neu
The Science of Running Barefoot -- in Shoes,0.0,0.0,neu
Ordinary People Starring in AdsConvey Realistic  Genuine Feel,0.105555555556,0.444444444444,neu
Core LaboratoriesRises  but VisteonAnd Cost Plus Fall,0.0,0.0,neu
Yue Yuen's Profit Declines 10%As Labor  Materials Costs Surge,0.0,0.0,neu
Exxon Mobil  Transocean Hit Records as GM  FedEx Slump,0.0,0.0,neu
Ugly Rita,-0.7,1.0,neg
Plain and Fancy Footwork,-0.214285714286,0.357142857143,neu
For Plus-Size Women More Chic Choices,0.0,0.0,neu
Once-Hot Volkswagen AttemptsTo Reverse U.S. Sales Decline,0.0,0.0,neu
Mutual Funds That Are Beating the Bear,0.0,0.0,neu
Stocks to Watch: Weatherford  Delta and More,0.5,0.5,pos
Morning MarketBeat: Feeling the Burn,0.0,0.0,neu
Tomorrow's Tape: Sweet Home,0.35,0.65,pos
Exxon  BP Decline; Aetna Bounces Back,0.0,0.0,neu
'Smart Pig' Hogs Spotlight as BP Closes Oil Field,0.214285714286,0.642857142857,pos
Shareholder Criticism,0.0,0.0,neu
Chesapeake Energy Board Turns on CEO Aubrey McClendon,0.0,0.0,neu
Oil-Field Suppliers Feel Urge to Merge,0.0,0.0,neu
Large-Cap Stocks Snap Two-Day Rally,0.0,0.0,neu
Railroad Stocks Are Picking Up Steam,0.0,0.0,neu
Less Bearish on the Buck,-0.166666666667,0.0666666666667,neu
Train Accident Adds to Calls For New Monitoring,0.136363636364,0.454545454545,neu
Tensions MountOver Fuel ChargesSet by Railroads,0.0,0.0,neu
Railroads Push to Harden Tank Cars,0.0,0.0,neu
Railroads Face Combined Price-Fixing Complaint,-0.3,0.2,neu
Burned Before  Railroads Take Risks,0.0,0.0,neu
Industrial Stocks Suffer Bleak Tuesday,-1.0,1.0,neg
Freight Haulers Slam on the Brakes,0.0,0.0,neu
Berkshire TakesA Bigger InterestIn U.S. Railroads,0.0,0.5,neu
As Tech Rebounds A Software MogulBuilds Big in Hawaii,0.0,0.1,neu
BEA's Response to Oracle,0.0,0.0,neu
Oracle Delivers LetterTo BEA Systems Board,0.0,0.0,neu
A Positive Halo,0.227272727273,0.545454545455,pos
The Private-Equity CEO,0.0,0.0,neu
Oracle's Letter to Retek Directors,0.0,0.0,neu
In Line to Lead,0.0,0.0,neu
Oracle's Statement on Siebel Deal,0.0,0.0,neu
Oracle Cases Show Risks of Selling,0.0,0.0,neu
Judge Questions Costs in Oracle Suit,0.0,0.0,neu
Roc Oil to Drill in Angola,0.0,0.0,neu
Oil News Roundup,0.0,0.0,neu
Oil News Roundup,0.0,0.0,neu
Oil News Roundup,0.0,0.0,neu
Oil News Roundup,0.0,0.0,neu
Behind Soaring Executive Pay Decades of Failed Restraints,-0.45,0.5,neg
Nexen Targets Canada Oil Sands To Sell Some Conventional Fields,-0.142857142857,0.357142857143,neu
Oil Drilling Goes High Tech,0.16,0.54,pos
Oil News Roundup,0.0,0.0,neu
Oil News Roundup,0.0,0.0,neu
What's Old is New,0.118181818182,0.327272727273,neu
Drinks Makers Woo Convenience Store Shoppers,0.0,0.0,neu
Stocks to Watch: McDonald's  Dollar Thrifty and More!,0.625,0.5,pos
New! Improved! Products That Look Very Old,0.171534090909,0.357272727273,neu
In Quest for Job Candidates  Companies Aim to Look Cool,0.35,0.65,pos
To Cut Costs in China  Companies Shrink Package Size,0.0,0.0,neu
Ronald McDonald to Face Fire at Annual Meeting,0.0,0.0,neu
McDonald's Marketing and Ronald McDonald Come Under Fire,0.0,0.0,neu
PepsiCo Plans Recycling Initiative,0.0,0.0,neu
Tata Tea  PepsiCo Explore Joint Venture,0.0,0.0,neu
Pfizer to Cut 6 000 Jobs  Halt Work at Eight Sites in Wake of Wyeth Deal,0.0,0.0,neu
OPTIONS REPORT: Big 'Buy-Write' Trades in Pfizer  Activision,0.0,0.1,neu
Pfizer Halts Inspra Trial Enrollment on Early Success,0.2,0.15,neu
Pfizer Teams Up With Medical School,0.0,0.0,neu
Supreme Court Rejects Pfizer Appeal in Investor Suit,0.0,0.0,neu
AstraZeneca Poaches R&D Head From Pfizer,0.0,0.0,neu
Pfizer  Merck Net Slides,0.0,0.0,neu
Generic Lipitor Goes on Sale in Canada,0.0,0.0,neu
Pfizer Deal Highlights China's Clout,0.0,0.0,neu
Corporate Watch,0.0,0.0,neu
Noted ...,0.0,0.0,neu
Noted . . .,0.0,0.0,neu
Beneath the Dow's Surge Investors Find a Mixed Bag,0.0,0.25,neu
As Energy Prices Sink Many Firms Are Buoyed,0.0,0.0,neu
P&G Stumbles in China,0.0,0.0,neu
At Many Companies  Hunt for LeakersExpands Arsenal of Monitoring Tactics,0.5,0.5,pos
CW Will Try A New Ad Idea:'Content Wraps',0.136363636364,0.454545454545,neu
Revlon Elevates Kennedy To CEO as Stahl Resigns,0.0,0.0,neu
P&G Sells Sure Deodorant LabelTo Private Firm Innovative Brands,0.2,0.665972222222,pos
'Any College Will Do',0.0,0.0,neu
Who's News Briefs,0.0,0.0,neu
Noted . . .,0.0,0.0,neu
Who's News Briefs,0.0,0.0,neu
Cigarette MakersAnd U.S. Seek Deal,0.0,0.0,neu
Stock Market Still Faces Uncertainty,0.0,0.0,neu
Japan's Smoking Rate Hits Record Low,0.0,0.3,neu
Europe's Smoking Problem,0.0,0.0,neu
Jeremy Siegel and Jeremy Schwartz: The Great American Bond Bubble,0.4,0.375,neu
Reynolds's New Cigarette Merely Heats Tobacco,-0.181818181818,0.477272727273,neu
Barclays's Barbara Byrne on Building Client Relationships,0.0,0.0,neu
Qualcomm's Profit Leaps 46%,0.0,0.0,neu
Option Trading Remains CautiousDespite Drop in Producer Prices,0.0,0.0,neu
Wireless Industry Agrees to StudyStandard to Boost Network Speed,0.0,0.0,neu
Tax Cut  Shareholder PressureStoke Surge in Stock Dividends,0.0,0.0,neu
Kyocera Wireless to Cut Jobs Shift Manufacturing to Mexico,0.0,0.0,neu
TI to Supply New Phone Chip,0.136363636364,0.454545454545,neu
Technology Stocks DeclineAs eBay's Woes Rattle Investors,0.0,0.0,neu
NASD FinesStock AnalystOver a Rumor,0.0,0.0,neu
Corrections & Amplifications,0.0,0.0,neu
Readers Are Split on FiningAnalysts for Passing Rumors,0.0,0.0,neu
L-3 Looks for More Lift,0.5,0.5,pos
The Cities Immigrants Skip;Hugo Stirs Up Montana Storm,0.0,0.0,neu
ITT Agrees to Buy EDO for $1.4 Billion,0.0,0.0,neu
Video: digits: Jobs's Disney Attendance Record Questioned,0.0,0.0,neu
Colleges' Research Agreements With Corporations Play Big Role in Jobs,0.0,0.1,neu
Bold Builders Bet on Skyscrapers,0.333333333333,0.666666666667,pos
Best Executive MBA Programs: The Wall Street Journal's 2010 Rankings,1.0,0.3,neu
U.S.-Saudi Arms Deal Moves Ahead,0.0,0.0,neu
Oil-Rich Norway Hires Philosopher As Moral Compass,0.0,0.25,neu
Can Boeing Stay at Lofty Heights?,0.0,0.0,neu
Happy Workers Are the Best Workers,0.9,0.65,pos
New Respect for an Old Ritual,0.118181818182,0.327272727273,neu
Labor Complaint Hits Starbucks,-0.3,0.2,neu
Heartland Sees Boom With Grains in Demand,0.0,0.0,neu
The 50 Women to Watch 2008,0.0,0.0,neu
When Activists Are Terrorists,0.0,0.0,neu
Use These Search Strategies When You're Looking to Relocate,0.0,0.0,neu
Will Work for Fodder,0.0,0.0,neu
Nasdaq to Acquire Phil-Ex for $652 Million,0.0,0.0,neu
ADM ChoosesAn Energy-Savvy OutsiderAs Its New CEO,0.136363636364,0.454545454545,neu
Schlumberger Net Jumps,0.0,0.0,neu
Schlumberger's Net Rises 47% Helped by International Operations,0.0,0.0,neu
Exxon Mobil  Schlumberger: Money Flow Leaders (XOM  SLB),0.0,0.0,neu
SPDR Trust  Schlumberger: Money Flow Leaders (SPY  SLB),0.0,0.0,neu
Schlumberger  iShares Russell 2000: Money Flow Leaders (SLB  IWM),0.0,0.0,neu
Energy Shock:Sector's SharesStill a Bargain,0.0,0.0,neu
BP's Net Income Rises 1.5%On Sale of Refinery  Pipeline,0.0,0.0,neu
Stocks Gain on Mergers  Earnings,0.0,0.0,neu
Google  Caterpillar Hurt Markets,0.0,0.0,neu
Halliburton's Net More Than Doubles,0.25,0.25,neu
Major Indexes End Mixed On Jitters Over Oil Prices,0.03125,0.375,neu
The Second Draft,0.0,0.0,neu
China's M.B.A. ProgramsAttract the Business Elite,0.0,0.0,neu
Sudan's Oil Leads to Standoff,0.0,0.0,neu
Shopkeepers Say 'Enough',0.0,0.5,neu
Creditor-Friendly South OffersPreview of Bankruptcy Changes,0.0,0.0,neu
Citigroup and Fannie Mae Decline,0.0,0.0,neu
Spain's Auna and Ono Battle For Each Other's Media Assets,-0.125,0.375,neu
Archstone-SmithTo Buy ApartmentsFrom Oakwood,0.0,0.0,neu
Conviction Marks a Crucial WinFor U.S. Prosecutor in Manhattan,0.0,1.0,neu
Lenders Clamp DownOn Inflated Appraisals,0.0,0.0,neu
Real Estate,0.2,0.3,neu
Concerns MountAbout Mortgage Risks,0.0,0.0,neu
Rising RentsJolt Tenants,0.0,0.0,neu
Simon Property Sets Offerings to Repay Debt,0.0,0.0,neu
Simon  Others in Real Estate Tackle Debt,0.2,0.3,neu
